seed,dfl_cost_test_cvar,ols_cost_test_cvar,runtime_dfl,runtime_ols
100,-731.1923193502728,8.227255640581635,531.573806624976,8.479625415988266
101,-923.3014923162727,3.455405539502724,371.64010325004347,11.195931083988398
102,-1087.3486988839238,90.40989938428993,365.3100197080057,12.596068333950825
103,-792.7962964115076,7.096693562202217,379.94251550000627,23.97596320800949
104,-413638.2140760347,-33330.80991415406,503.69641900004353,7.763977083028294
105,-423.42785496551585,35.99799963180647,391.6914147500647,10.613443542039022
106,-347.9594874805068,-3.899772353793846,372.27189412503503,9.51488754095044
107,-799.8476079707659,2.6587544950808697,416.2687109579565,29.63920087495353
108,-43526.84589726264,-1951.731192398893,400.2525112919975,12.33761987509206
109,-990.8155586332149,-0.5845540354447928,373.9916077499511,8.737504833028652
110,-561.247318879207,13.836478797147631,383.9612761250464,10.76811262499541
111,-589.8020081281833,20.619508111878666,386.9498433750123,18.86405287508387
112,-728.0745357215432,68.80710309559431,377.39132545806933,10.41534587496426
113,-644.8264826124857,19.916302743150524,389.3433465830749,9.61114254198037
114,-757.828473231069,-4.17900313438736,385.9645743329311,9.84462120803073
115,-456.5431079853717,21.342188818952472,394.52140712505206,11.184951249975711
116,-1194.5418885583617,45.641345998201466,377.30852324992884,9.30728025001008
117,-837.583409467997,48.76715427751254,368.9281213750364,9.324577125022188
118,-1144.725340280107,3.4632277791743338,361.1056414579507,7.926941124955192
119,-747.6886450940999,-23.895252388326302,364.047386958031,30.396646832930855
