date,GLD_Open,SPY_Open,TLT_Open,GLD_High,SPY_High,TLT_High,GLD_Low,SPY_Low,TLT_Low,GLD_Close,SPY_Close,TLT_Close,GLD_Volume,SPY_Volume,TLT_Volume
2007-01-17,61.970001220703125,100.73226623960021,49.419018070330864,62.900001525878906,101.16241493587485,49.452631271363565,61.970001220703125,100.64763959187276,49.200523714991434,62.63999938964844,100.85214233398438,49.27895736694336,4516200,50241400,724200
2007-01-18,62.9900016784668,100.95791920734798,49.26774303681958,63.15999984741211,101.02138112762402,49.45822349785682,62.150001525878906,100.35148019604277,49.17810215564031,62.2599983215332,100.51366424560547,49.430213928222656,4460100,68177300,918300
2007-01-19,62.52000045776367,100.51366558436041,49.385382896867775,63.130001068115234,100.90856486667185,49.385382896867775,62.27000045776367,100.4572621610783,49.22851566275693,63.0,100.71112060546875,49.29574203491211,3258400,56973000,882500
2007-01-22,63.0099983215332,100.88740363936827,49.38542730083667,63.47999954223633,100.90855761155444,49.486271224052906,62.650001525878906,100.08350965667582,49.368620692686534,62.720001220703125,100.40084075927734,49.41343688964844,3941200,60253600,432000
2007-01-23,63.68000030517578,100.31622841093203,49.312548807276265,64.29000091552734,100.89446575952839,49.32935967468775,63.66999816894531,100.17519832295189,49.06044136215441,64.2300033569336,100.697021484375,49.08845520019531,6322000,54064400,1096800
2007-01-24,63.709999084472656,100.81688730720319,49.11086906473173,64.41000366210938,101.52909617274966,49.13327500765534,63.369998931884766,100.77457936111794,49.02122819578972,64.33000183105469,101.50794219970703,49.082855224609375,5241200,55834700,463700
2007-01-25,64.80000305175781,101.44448530895284,48.99322611742458,64.87999725341797,101.4867932571352,49.00443336588879,63.97999954223633,100.13993285383448,48.673887925201264,64.05999755859375,100.31622314453125,48.729915618896484,5985700,73583800,1397000
2007-01-26,64.16000366210938,100.53476736738044,48.617862427343745,64.30999755859375,100.59117075534513,48.78593695261816,63.7599983215332,99.83665439245902,48.54503241269162,64.16999816894531,100.22449493408203,48.690696716308594,3493900,67255600,1576800
2007-01-29,63.849998474121094,100.2668358097291,48.77470890702299,64.29000091552734,100.69698441365193,48.79711911912468,63.65999984741211,99.949515538616,48.51699787931993,63.77000045776367,100.1681137084961,48.584228515625,3487300,66114600,1015300
2007-01-30,63.91999816894531,100.3796643713799,48.679464143891344,64.2300033569336,100.739292578141,48.690671386046105,63.83000183105469,100.17516167270828,48.60663416712744,64.22000122070312,100.68992614746094,48.6402473449707,3094200,70407600,1295100
2007-01-31,63.9900016784668,100.57706768664977,48.57306071606085,64.9800033569336,101.63480866936885,49.08288383817542,63.95000076293945,100.41487298883983,48.57306071606085,64.83000183105469,101.3668441772461,49.04927062988281,5900900,91868600,2078000
2007-02-01,65.44999694824219,101.64894885827823,49.305227834811404,65.62999725341797,102.00858783696918,49.36710581611128,65.05999755859375,101.47971711292007,48.939586388507806,65.22000122070312,101.97332763671875,48.990211486816406,6284700,69312400,986200
2007-02-02,64.76000213623047,102.05795045176573,48.984551465298104,64.80000305175781,102.21308673549862,49.158932391386195,63.79999923706055,101.81115055302934,48.984551465298104,64.27999877929688,102.11436462402344,49.05205154418945,9078500,49607000,814700
2007-02-05,64.68000030517578,102.03679751598138,49.164505886516565,64.69000244140625,102.20604003446923,49.19825588961909,64.23999786376953,101.78293911820123,49.029501582397025,64.30999755859375,102.142578125,49.119503021240234,2553500,45705300,395500
2007-02-06,65.05000305175781,102.22722107253254,49.052065927365604,65.0999984741211,102.26952902338121,49.40645861231746,64.52999877929688,101.77591833030333,49.02956875561452,64.79000091552734,102.17080688476562,49.389583587646484,2928800,57081300,770500
2007-02-07,64.77999877929688,102.3329888019694,49.44584512979928,65.1500015258789,102.50223136171823,49.56960105810892,64.4800033569336,101.94515875405877,49.41209078189544,64.62999725341797,102.3964614868164,49.53584671020508,3075300,55669700,836200
2007-02-08,64.91999816894531,102.09323912548281,49.496453790474476,65.61000061035156,102.33299135451114,49.67646118327332,64.83000183105469,101.7336107819403,49.45145516106084,65.5199966430664,102.26248168945312,49.5752067565918,4769900,70641000,980200
2007-02-09,65.2699966430664,102.29066195622235,49.440198835408076,66.37999725341797,102.48105845578027,49.45707385672514,65.22000122070312,101.11304427359352,49.248942871528726,66.12000274658203,101.50088500976562,49.293941497802734,6816500,79084400,878300
2007-02-12,66.0,101.50088251698608,49.215207575220994,66.11000061035156,101.57139216552868,49.30521344601516,65.41000366210938,100.97201173335019,49.12520599614296,65.66999816894531,101.15534973144531,49.18145751953125,4113500,65657000,467600
2007-02-13,66.12999725341797,101.38101301674138,49.21516620599052,66.33999633789062,102.1778377324505,49.21516620599052,65.55000305175781,101.37395451949602,49.05203392108875,65.83999633789062,102.00860595703125,49.07453536987305,4143300,64081800,1310600
2007-02-14,66.2300033569336,102.10728825778429,49.23206461203702,66.66000366210938,102.88295869905681,49.608958693612834,65.97000122070312,102.0931820286993,49.23206461203702,66.37000274658203,102.678466796875,49.54145431518555,4174600,66039400,2262500
2007-02-15,66.22000122070312,102.7207951150216,49.80022810316862,66.52999877929688,102.91823932180503,49.82835600803397,65.70999908447266,102.55155261210626,49.68772506713867,66.41000366210938,102.81246948242188,49.68772506713867,7673400,38715200,893800
2007-02-16,65.94000244140625,102.55863057699958,49.83393648022986,66.38999938964844,102.7842765304861,49.907067255035265,65.76000213623047,102.41054201384878,49.77206286635841,66.36000061035156,102.76312255859375,49.862064361572266,3200400,39841800,1476700
2007-02-20,66.0999984741211,102.64328368475728,49.78335335434022,66.0999984741211,103.09458651528469,49.980235814347566,65.0,102.24839505303433,49.78335335434022,65.30999755859375,102.98175811767578,49.974609375,4810700,56911800,847400
